file_name,path,well_plate,well,plate,date_time,RFU,platekey,population,treatment,replicate,start_time,days,acclimation_conditions,experiment_conditions
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-09_191009_162440_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_3,B02,3,2019-10-09T16:17:44Z,4,1,1.8,1,8,2019-10-09T16:00:09Z,0.012210648148148148,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-09_191009_162440_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_3,C02,3,2019-10-09T16:17:44Z,3,1,2.3,2,3,2019-10-09T16:00:09Z,0.012210648148148148,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-09_191009_162440_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_3,D02,3,2019-10-09T16:17:44Z,12,1,1.6,1,6,2019-10-09T16:00:09Z,0.012210648148148148,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-09_191009_162440_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_3,E02,3,2019-10-09T16:17:44Z,8,1,2.5,2,5,2019-10-09T16:00:09Z,0.012210648148148148,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-09_191009_162440_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_3,F02,3,2019-10-09T16:17:44Z,18,1,1.8,1,8,2019-10-09T16:00:09Z,0.012210648148148148,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-09_191009_162440_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_3,G02,3,2019-10-09T16:17:44Z,9,1,1.2,1,2,2019-10-09T16:00:09Z,0.012210648148148148,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_0801am_191010_080207_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_3,B02,3,2019-10-10T07:55:04Z,11,1,1.8,1,8,2019-10-09T16:00:09Z,0.6631365740740741,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_0801am_191010_080207_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_3,C02,3,2019-10-10T07:55:04Z,8,1,2.3,2,3,2019-10-09T16:00:09Z,0.6631365740740741,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_0801am_191010_080207_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_3,D02,3,2019-10-10T07:55:04Z,19,1,1.6,1,6,2019-10-09T16:00:09Z,0.6631365740740741,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_0801am_191010_080207_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_3,E02,3,2019-10-10T07:55:04Z,11,1,2.5,2,5,2019-10-09T16:00:09Z,0.6631365740740741,dark_acclimated,grown_in_dark
